1647343540805	PolyGesture	ExperimentStarted	vincenzo
He remembered XXXX XXXXXXXX how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the XXX XXX XXXXX charm of the little village where he had been so often lately was that no one knew who he was.' 0 553 553

1647343582639	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he XXXXX XXXXX strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered XXXX XXXXXXXX how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the XXX XXX XXXXX charm of the little village where he had been so often lately was that no one knew who he was.' 0 0 553

1647343582642	PolyGesture	InputEvent	SelectionChanged 553 553

1647343582656	PolyGesture	InputEvent	FocusChanged true 130 null

1647343582688	PolyGesture	InputEvent	WindowFocusChanged true

1647343583588	PolyGesture	InputEvent	TouchEvent (cursorPosition=553): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=182.0, y[0]=209.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425453266, downTime=425453266, deviceId=6, source=0x1002, displayId=0 }
1647343583628	PolyGesture	InputEvent	TouchEvent (cursorPosition=553): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=182.0, y[0]=209.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425453313, downTime=425453266, deviceId=6, source=0x1002, displayId=0 }
1647343583636	PolyGesture	InputEvent	SelectionChanged 127 127

1647343583665	PolyGesture	InputEvent	BeginBatchEdit

1647343583666	PolyGesture	InputEvent	BeginBatchEdit

1647343583678	PolyGesture	InputEvent	BeginBatchEdit

1647343583690	PolyGesture	InputEvent	BeginBatchEdit

1647343583896	PolyGesture	InputEvent	BeginBatchEdit

1647343584701	PolyGesture	InputEvent	TouchEvent (cursorPosition=127): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=477.0, y[0]=199.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425454375, downTime=425454375, deviceId=6, source=0x1002, displayId=0 }
1647343584772	PolyGesture	InputEvent	TouchEvent (cursorPosition=127): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=477.0, y[0]=199.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425454457, downTime=425454375, deviceId=6, source=0x1002, displayId=0 }
1647343584790	PolyGesture	InputEvent	SelectionChanged 138 138

1647343584792	PolyGesture	InputEvent	SelectionChanged 127 138

1647343584809	PolyGesture	InputEvent	BeginBatchEdit

1647343584813	PolyGesture	InputEvent	BeginBatchEdit

1647343584814	PolyGesture	InputEvent	BeginBatchEdit

1647343584816	PolyGesture	InputEvent	BeginBatchEdit

1647343585018	PolyGesture	InputEvent	BeginBatchEdit

1647343585720	PolyGesture	InputEvent	BeginBatchEdit

1647343585721	PolyGesture	InputEvent	SelectionChanged 138 138

1647343585731	PolyGesture	InputEvent	SelectionChanged 0 0

1647343585734	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he  strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered XXXX XXXXXXXX how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the XXX XXX XXXXX charm of the little village where he had been so often lately was that no one knew who he was.' 0 542 542

1647343585742	PolyGesture	InputEvent	SelectionChanged 127 127

1647343585743	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he  strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered XXXX XXXXXXXX how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the XXX XXX XXXXX charm of the little village where he had been so often lately was that no one knew who he was.' 127 11 0

1647343585747	PolyGesture	InputEvent	SelectionChanged 127 127

1647343585761	PolyGesture	InputEvent	BeginBatchEdit

1647343585767	PolyGesture	InputEvent	BeginBatchEdit

1647343585767	PolyGesture	InputEvent	BeginBatchEdit

1647343585774	PolyGesture	InputEvent	BeginBatchEdit

1647343585777	PolyGesture	InputEvent	BeginBatchEdit

1647343585779	PolyGesture	InputEvent	BeginBatchEdit

1647343585781	PolyGesture	InputEvent	BeginBatchEdit

1647343585982	PolyGesture	InputEvent	BeginBatchEdit

1647343586377	PolyGesture	InputEvent	TouchEvent (cursorPosition=127): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=397.0, y[0]=437.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425456052, downTime=425456052, deviceId=6, source=0x1002, displayId=0 }
1647343586429	PolyGesture	InputEvent	TouchEvent (cursorPosition=127): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=397.0, y[0]=437.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425456114, downTime=425456052, deviceId=6, source=0x1002, displayId=0 }
1647343586437	PolyGesture	InputEvent	SelectionChanged 287 287

1647343586464	PolyGesture	InputEvent	BeginBatchEdit

1647343586499	PolyGesture	InputEvent	BeginBatchEdit

1647343586689	PolyGesture	InputEvent	BeginBatchEdit

1647343587438	PolyGesture	InputEvent	TouchEvent (cursorPosition=287): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=746.0, y[0]=442.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425457112, downTime=425457112, deviceId=6, source=0x1002, displayId=0 }
1647343587490	PolyGesture	InputEvent	TouchEvent (cursorPosition=287): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=746.0, y[0]=442.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425457175, downTime=425457112, deviceId=6, source=0x1002, displayId=0 }
1647343587509	PolyGesture	InputEvent	SelectionChanged 345 345

1647343587511	PolyGesture	InputEvent	SelectionChanged 287 345

1647343587526	PolyGesture	InputEvent	BeginBatchEdit

1647343587530	PolyGesture	InputEvent	BeginBatchEdit

1647343587530	PolyGesture	InputEvent	BeginBatchEdit

1647343587533	PolyGesture	InputEvent	BeginBatchEdit

1647343587735	PolyGesture	InputEvent	BeginBatchEdit

1647343588210	PolyGesture	InputEvent	SelectionChanged 287 300

1647343588230	PolyGesture	InputEvent	BeginBatchEdit

1647343588234	PolyGesture	InputEvent	BeginBatchEdit

1647343588435	PolyGesture	InputEvent	BeginBatchEdit

1647343588992	PolyGesture	InputEvent	BeginBatchEdit

1647343588993	PolyGesture	InputEvent	SelectionChanged 300 300

1647343589001	PolyGesture	InputEvent	SelectionChanged 0 0

1647343589004	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he  strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered  how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the XXX XXX XXXXX charm of the little village where he had been so often lately was that no one knew who he was.' 0 529 529

1647343589011	PolyGesture	InputEvent	SelectionChanged 287 287

1647343589012	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he  strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered  how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the XXX XXX XXXXX charm of the little village where he had been so often lately was that no one knew who he was.' 287 13 0

1647343589016	PolyGesture	InputEvent	SelectionChanged 287 287

1647343589031	PolyGesture	InputEvent	BeginBatchEdit

1647343589036	PolyGesture	InputEvent	BeginBatchEdit

1647343589036	PolyGesture	InputEvent	BeginBatchEdit

1647343589044	PolyGesture	InputEvent	BeginBatchEdit

1647343589046	PolyGesture	InputEvent	BeginBatchEdit

1647343589048	PolyGesture	InputEvent	BeginBatchEdit

1647343589051	PolyGesture	InputEvent	BeginBatchEdit

1647343589251	PolyGesture	InputEvent	BeginBatchEdit

1647343590082	PolyGesture	InputEvent	TouchEvent (cursorPosition=287): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=223.0, y[0]=641.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425459749, downTime=425459749, deviceId=6, source=0x1002, displayId=0 }
1647343590127	PolyGesture	InputEvent	TouchEvent (cursorPosition=287): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=223.0, y[0]=641.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425459812, downTime=425459749, deviceId=6, source=0x1002, displayId=0 }
1647343590135	PolyGesture	InputEvent	SelectionChanged 421 421

1647343590162	PolyGesture	InputEvent	BeginBatchEdit

1647343590195	PolyGesture	InputEvent	BeginBatchEdit

1647343590398	PolyGesture	InputEvent	BeginBatchEdit

1647343591158	PolyGesture	InputEvent	TouchEvent (cursorPosition=421): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=560.0, y[0]=641.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425460831, downTime=425460831, deviceId=6, source=0x1002, displayId=0 }
1647343591216	PolyGesture	InputEvent	TouchEvent (cursorPosition=421): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=560.0, y[0]=641.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425460901, downTime=425460831, deviceId=6, source=0x1002, displayId=0 }
1647343591235	PolyGesture	InputEvent	SelectionChanged 434 434

1647343591237	PolyGesture	InputEvent	SelectionChanged 421 434

1647343591257	PolyGesture	InputEvent	BeginBatchEdit

1647343591260	PolyGesture	InputEvent	BeginBatchEdit

1647343591261	PolyGesture	InputEvent	BeginBatchEdit

1647343591263	PolyGesture	InputEvent	BeginBatchEdit

1647343591468	PolyGesture	InputEvent	BeginBatchEdit

1647343592028	PolyGesture	InputEvent	BeginBatchEdit

1647343592029	PolyGesture	InputEvent	SelectionChanged 434 434

1647343592038	PolyGesture	InputEvent	SelectionChanged 0 0

1647343592041	PolyGesture	TaskCompleted	Cancella frase in 9"405 seconds (at 425461726, effective time: 8"460)

***************************************


1647343592053	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he  strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered  how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the  charm of the little village where he had been so often lately was that no one knew who he was.' 0 516 516

1647343592059	PolyGesture	InputEvent	SelectionChanged 421 421

1647343592059	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he  strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered  how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the  charm of the little village where he had been so often lately was that no one knew who he was.' 421 13 0

1647343592065	PolyGesture	InputEvent	SelectionChanged 421 421

1647343592079	PolyGesture	InputEvent	BeginBatchEdit

1647343592127	PolyGesture	InputEvent	BeginBatchEdit

1647343592127	PolyGesture	InputEvent	BeginBatchEdit

1647343592128	PolyGesture	InputEvent	BeginBatchEdit

1647343592130	PolyGesture	InputEvent	BeginBatchEdit

1647343592136	PolyGesture	InputEvent	BeginBatchEdit

1647343592140	PolyGesture	InputEvent	BeginBatchEdit

1647343592341	PolyGesture	InputEvent	BeginBatchEdit

1647343593409	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=425463091, downTime=425463091, deviceId=-1, source=0x101, displayId=0 }

1647343593413	PolyGesture	InputEvent	BeginBatchEdit

1647343593486	PolyGesture	InputEvent	WindowFocusChanged false

1647343593502	PolyGesture	InputEvent	BeginBatchEdit

1647343593502	PolyGesture	InputEvent	BeginBatchEdit

1647343594657	PolyGesture	InputEvent	SelectionChanged 0 0

1647343594658	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647343594726	PolyGesture	InputEvent	SelectionChanged 0 0

1647343594727	PolyGesture	InputEvent	SelectionChanged 0 0

1647343594728	PolyGesture	TaskStarted	Sposta parola (taglia - incolla)

1647343594728	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in dress passed him. He heard one of them whisper to the other, evening That is Dorian Gray. He remembered how pleased he used to was be when he was pointed out, or stared at, or talked about. He tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647343594732	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in dress passed him. He heard one of them whisper to the other, evening That is Dorian Gray. He remembered how pleased he used to was be when he was pointed out, or stared at, or talked about. He tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 0 513

1647343594736	PolyGesture	InputEvent	SelectionChanged 513 513

1647343594750	PolyGesture	InputEvent	FocusChanged true 130 null

1647343594778	PolyGesture	InputEvent	WindowFocusChanged true

1647343596063	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=758.0, y[0]=110.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425465738, downTime=425465738, deviceId=6, source=0x1002, displayId=0 }
1647343596129	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=758.0, y[0]=110.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425465814, downTime=425465738, deviceId=6, source=0x1002, displayId=0 }
1647343596137	PolyGesture	InputEvent	SelectionChanged 84 84

1647343596167	PolyGesture	InputEvent	BeginBatchEdit

1647343596168	PolyGesture	InputEvent	BeginBatchEdit

1647343596179	PolyGesture	InputEvent	BeginBatchEdit

1647343596193	PolyGesture	InputEvent	BeginBatchEdit

1647343596402	PolyGesture	InputEvent	BeginBatchEdit

1647343596910	PolyGesture	InputEvent	SelectionChanged 83 83

1647343596927	PolyGesture	InputEvent	BeginBatchEdit

1647343596937	PolyGesture	InputEvent	BeginBatchEdit

1647343597139	PolyGesture	InputEvent	BeginBatchEdit

1647343597491	PolyGesture	InputEvent	SelectionChanged 83 84

1647343597509	PolyGesture	InputEvent	BeginBatchEdit

1647343597513	PolyGesture	InputEvent	BeginBatchEdit

1647343597641	PolyGesture	InputEvent	SelectionChanged 83 85

1647343597661	PolyGesture	InputEvent	BeginBatchEdit

1647343597664	PolyGesture	InputEvent	BeginBatchEdit

1647343597796	PolyGesture	InputEvent	SelectionChanged 83 86

1647343597818	PolyGesture	InputEvent	BeginBatchEdit

1647343597821	PolyGesture	InputEvent	BeginBatchEdit

1647343597936	PolyGesture	InputEvent	SelectionChanged 83 87

1647343597951	PolyGesture	InputEvent	BeginBatchEdit

1647343597954	PolyGesture	InputEvent	BeginBatchEdit

1647343598155	PolyGesture	InputEvent	BeginBatchEdit

1647343598565	PolyGesture	InputEvent	BeginBatchEdit

1647343598569	PolyGesture	InputEvent	SelectionChanged 0 0

1647343598572	PolyGesture	InputEvent	BeginBatchEdit

1647343598576	PolyGesture	InputEvent	SelectionChanged 0 0

1647343598579	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in dress passed him. He heard one of them whisper to the other, evening That is Dorian Gray. He remembered how pleased he used to was be when he was pointed out, or stared at, or talked about. He tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 509 509

1647343598587	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in dress passed him. He heard one of them whisper to the other, evening That is Dorian Gray. He remembered how pleased he used to was be when he was pointed out, or stared at, or talked about. He tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 509

1647343598590	PolyGesture	InputEvent	SelectionChanged 83 83

1647343598636	PolyGesture	InputEvent	BeginBatchEdit

1647343598640	PolyGesture	InputEvent	BeginBatchEdit

1647343598644	PolyGesture	InputEvent	BeginBatchEdit

1647343598644	PolyGesture	InputEvent	BeginBatchEdit

1647343598655	PolyGesture	InputEvent	BeginBatchEdit

1647343598660	PolyGesture	InputEvent	BeginBatchEdit

1647343598860	PolyGesture	InputEvent	BeginBatchEdit

1647343599153	PolyGesture	InputEvent	TouchEvent (cursorPosition=83): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=636.0, y[0]=104.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425468828, downTime=425468828, deviceId=6, source=0x1002, displayId=0 }
1647343599217	PolyGesture	InputEvent	TouchEvent (cursorPosition=83): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=636.0, y[0]=104.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425468902, downTime=425468828, deviceId=6, source=0x1002, displayId=0 }
1647343599224	PolyGesture	InputEvent	SelectionChanged 77 77

1647343599246	PolyGesture	InputEvent	BeginBatchEdit

1647343599281	PolyGesture	InputEvent	BeginBatchEdit

1647343599473	PolyGesture	InputEvent	BeginBatchEdit

1647343599936	PolyGesture	InputEvent	SelectionChanged 78 78

1647343599953	PolyGesture	InputEvent	BeginBatchEdit

1647343599965	PolyGesture	InputEvent	BeginBatchEdit

1647343600177	PolyGesture	InputEvent	BeginBatchEdit

1647343600181	PolyGesture	InputEvent	SelectionChanged 0 0

1647343600184	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not put even his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in dress passed him. He heard one of them whisper to the other, evening That is Dorian Gray. He remembered how pleased he used to was be when he was pointed out, or stared at, or talked about. He tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647343600192	PolyGesture	InputEvent	SelectionChanged 82 82

1647343600194	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not put even his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in dress passed him. He heard one of them whisper to the other, evening That is Dorian Gray. He remembered how pleased he used to was be when he was pointed out, or stared at, or talked about. He tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 78 0 4

1647343600197	PolyGesture	InputEvent	SelectionChanged 82 82

1647343600229	PolyGesture	InputEvent	BeginBatchEdit

1647343600233	PolyGesture	InputEvent	BeginBatchEdit

1647343600239	PolyGesture	InputEvent	BeginBatchEdit

1647343600240	PolyGesture	InputEvent	BeginBatchEdit

1647343600250	PolyGesture	InputEvent	BeginBatchEdit

1647343600253	PolyGesture	InputEvent	BeginBatchEdit

1647343600253	PolyGesture	InputEvent	BeginBatchEdit

1647343600256	PolyGesture	InputEvent	BeginBatchEdit

1647343600458	PolyGesture	InputEvent	BeginBatchEdit

1647343601340	PolyGesture	InputEvent	TouchEvent (cursorPosition=82): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=242.0, y[0]=325.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425471015, downTime=425471015, deviceId=6, source=0x1002, displayId=0 }
1647343601399	PolyGesture	InputEvent	TouchEvent (cursorPosition=82): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=242.0, y[0]=325.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425471084, downTime=425471015, deviceId=6, source=0x1002, displayId=0 }
1647343601406	PolyGesture	InputEvent	SelectionChanged 242 242

1647343601431	PolyGesture	InputEvent	BeginBatchEdit

1647343601467	PolyGesture	InputEvent	BeginBatchEdit

1647343601657	PolyGesture	InputEvent	BeginBatchEdit

1647343602432	PolyGesture	InputEvent	SelectionChanged 242 243

1647343602448	PolyGesture	InputEvent	BeginBatchEdit

1647343602452	PolyGesture	InputEvent	BeginBatchEdit

1647343602571	PolyGesture	InputEvent	SelectionChanged 242 244

1647343602594	PolyGesture	InputEvent	BeginBatchEdit

1647343602597	PolyGesture	InputEvent	BeginBatchEdit

1647343602711	PolyGesture	InputEvent	SelectionChanged 242 245

1647343602727	PolyGesture	InputEvent	BeginBatchEdit

1647343602730	PolyGesture	InputEvent	BeginBatchEdit

1647343602843	PolyGesture	InputEvent	SelectionChanged 242 246

1647343602859	PolyGesture	InputEvent	BeginBatchEdit

1647343602862	PolyGesture	InputEvent	BeginBatchEdit

1647343602984	PolyGesture	InputEvent	SelectionChanged 242 247

1647343603006	PolyGesture	InputEvent	BeginBatchEdit

1647343603010	PolyGesture	InputEvent	BeginBatchEdit

1647343603121	PolyGesture	InputEvent	SelectionChanged 242 248

1647343603134	PolyGesture	InputEvent	BeginBatchEdit

1647343603137	PolyGesture	InputEvent	BeginBatchEdit

1647343603276	PolyGesture	InputEvent	SelectionChanged 242 249

1647343603288	PolyGesture	InputEvent	BeginBatchEdit

1647343603292	PolyGesture	InputEvent	BeginBatchEdit

1647343603422	PolyGesture	InputEvent	SelectionChanged 242 250

1647343603447	PolyGesture	InputEvent	BeginBatchEdit

1647343603451	PolyGesture	InputEvent	BeginBatchEdit

1647343603655	PolyGesture	InputEvent	BeginBatchEdit

1647343604337	PolyGesture	InputEvent	BeginBatchEdit

1647343604343	PolyGesture	InputEvent	SelectionChanged 0 0

1647343604346	PolyGesture	InputEvent	BeginBatchEdit

1647343604350	PolyGesture	InputEvent	SelectionChanged 0 0

1647343604352	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not put even his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to was be when he was pointed out, or stared at, or talked about. He tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 505 505

1647343604360	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not put even his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to was be when he was pointed out, or stared at, or talked about. He tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 505

1647343604365	PolyGesture	InputEvent	SelectionChanged 242 242

1647343604405	PolyGesture	InputEvent	BeginBatchEdit

1647343604410	PolyGesture	InputEvent	BeginBatchEdit

1647343604413	PolyGesture	InputEvent	BeginBatchEdit

1647343604413	PolyGesture	InputEvent	BeginBatchEdit

1647343604423	PolyGesture	InputEvent	BeginBatchEdit

1647343604429	PolyGesture	InputEvent	BeginBatchEdit

1647343604630	PolyGesture	InputEvent	BeginBatchEdit

1647343605037	PolyGesture	InputEvent	TouchEvent (cursorPosition=242): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=867.0, y[0]=202.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425474712, downTime=425474712, deviceId=6, source=0x1002, displayId=0 }
1647343605096	PolyGesture	InputEvent	TouchEvent (cursorPosition=242): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=867.0, y[0]=202.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425474781, downTime=425474712, deviceId=6, source=0x1002, displayId=0 }
1647343605103	PolyGesture	InputEvent	SelectionChanged 181 181

1647343605124	PolyGesture	InputEvent	BeginBatchEdit

1647343605158	PolyGesture	InputEvent	BeginBatchEdit

1647343605361	PolyGesture	InputEvent	BeginBatchEdit

1647343605920	PolyGesture	InputEvent	BeginBatchEdit

1647343605923	PolyGesture	InputEvent	SelectionChanged 0 0

1647343605926	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not put even his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to was be when he was pointed out, or stared at, or talked about. He tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647343605934	PolyGesture	InputEvent	SelectionChanged 189 189

1647343605935	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not put even his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to was be when he was pointed out, or stared at, or talked about. He tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 181 0 8

1647343605938	PolyGesture	InputEvent	SelectionChanged 189 189

1647343605969	PolyGesture	InputEvent	BeginBatchEdit

1647343605972	PolyGesture	InputEvent	BeginBatchEdit

1647343605975	PolyGesture	InputEvent	BeginBatchEdit

1647343605976	PolyGesture	InputEvent	BeginBatchEdit

1647343605982	PolyGesture	InputEvent	BeginBatchEdit

1647343605984	PolyGesture	InputEvent	BeginBatchEdit

1647343605985	PolyGesture	InputEvent	BeginBatchEdit

